78015_0700_00005;78015_0700;5;;Passage de Smeth;78570;78015;Andrésy;;;631949.02;6877049.94;2.070145;48.989772;;;ANDRESY;PASSAGE DE SMETH;inconnue;inconnue
78015_0700_00001_a;78015_0700;1;a;Passage de Smeth;78570;78015;Andrésy;;;631986.98;6877041.15;2.070665;48.989697;;;ANDRESY;PASSAGE DE SMETH;arcep;inconnue
78015_0385_00001;78015_0385;1;;Rue Georges Delamare;78570;78015;Andrésy;;;630391.12;6874817.49;2.049227;48.969532;;;ANDRESY;RUE GEORGES DELAMARE;inconnue;inconnue
78015_0385_00003;78015_0385;3;;Rue Georges Delamare;78570;78015;Andrésy;;;630370.32;6874829.42;2.048941;48.969637;;;ANDRESY;RUE GEORGES DELAMARE;inconnue;inconnue
78015_0385_00005;78015_0385;5;;Rue Georges Delamare;78570;78015;Andrésy;;;630314.28;6874863.46;2.04817;48.969937;;;ANDRESY;RUE GEORGES DELAMARE;inconnue;inconnue
78015_0385_00007;78015_0385;7;;Rue Georges Delamare;78570;78015;Andrésy;;;630324.23;6874857.11;2.048307;48.969881;;;ANDRESY;RUE GEORGES DELAMARE;inconnue;inconnue
78015_0215_00002;78015_0215;2;;Rue des Coteaux;78570;78015;Andrésy;;;630016.69;6876209.42;2.043883;48.982007;;;ANDRESY;RUE DES COTEAUX;inconnue;inconnue
78015_0215_00054;78015_0215;54;;Rue des Coteaux;78570;78015;Andrésy;;;629948.97;6876161.2;2.042966;48.981566;;;ANDRESY;RUE DES COTEAUX;inconnue;inconnue
78015_0215_00056;78015_0215;56;;Rue des Coteaux;78570;78015;Andrésy;;;629976.01;6876193.46;2.04333;48.981859;;;ANDRESY;RUE DES COTEAUX;inconnue;inconnue
78015_0215_00058;78015_0215;58;;Rue des Coteaux;78570;78015;Andrésy;;;630003.54;6876193.79;2.043706;48.981865;;;ANDRESY;RUE DES COTEAUX;inconnue;inconnue
78015_0215_00060;78015_0215;60;;Rue des Coteaux;78570;78015;Andrésy;;;630028.29;6876188.48;2.044045;48.98182;;;ANDRESY;RUE DES COTEAUX;inconnue;inconnue
78015_0215_00062;78015_0215;62;;Rue des Coteaux;78570;78015;Andrésy;;;630051.67;6876154.28;2.04437;48.981515;;;ANDRESY;RUE DES COTEAUX;inconnue;inconnue
